"Stream","Reach","Date","SurNum","Weather","StartTime","EndTime","Worker1","Worker2","Worker3","Comments"
"ZigZag","Lower","2015-06-26","28","Partly cloudy","2:15","7:45","BA","NS","NA",""
"Bear","Upper","2015-06-27","29","Partly cloudy","9:00","2:00","BA","NS","JJ",""
"Paradise","Upper","2015-06-27","29","Partly cloudy","2:15","7:15","JJ","NS","BA",""
"Bear","Lower","2015-07-05","29","Sunny","2:00","7:15","BA","NS","JJ","surveyed first 100m on 6/30, but water too high"
"ZigZag","Upper","2015-07-05","29","Sunny","8:45","1:15","NS","BA","JJ",""
"Paradise","Lower","2015-07-06","29","Sunny","8:45","12:15","JJ","NS","BA",""
"ZigZag","Lower","2015-07-07","29","Overcast","8:45","12:45","NS","BA","JJ",""
"Bear","Upper","2015-07-09","30","Overcast","10:30","3:30","NS","BA","JJ","possible brook trout sighting at 30m"
"Paradise","Upper","2015-07-10","30","Partly cloudy","8:45","5:15","BA","JJ","NS",""
"ZigZag","Upper","2015-07-11","30","Sunny","9:00","1:00","JJ","NS","BA",""
"Bear","Lower","2015-07-12","30","Sunny","9:00","12:45","NS","BA","JJ",""
"Paradise","Lower","2015-07-13","30","Sunny, Partly cloudy","8:45","1:15","BA","JJ","NS",""
"ZigZag","Lower","2015-07-14","30","Partly cloudy","9:00","12:00","NS","BA","NA",""
"Bear","Upper","2015-07-15","31","Overcast","8:45","11:45","JJ","NS","BA","recent Rain"
"Paradise","Upper","2015-07-16","31","Sunny","8:45","3:00","NS","BA","JJ",""
"ZigZag","Upper","2015-07-17","31","Sunny","9:00","1:45","BA","JJ","NS",""
"Bear","Lower","2015-07-18","31","Overcast, Rain","8:45","11:45","JJ","BA","NS",""
"Paradise","Lower","2015-07-19","31","Overcast","8:30; 12:30","11:15; 1:30","NS","BA","JJ","Heavy rain 11:15-12:30, also rained previous night"
"Bear","Upper","2015-07-23","32","Overcast","12:15","4:00","JJ","NS","BA",""
"ZigZag","Lower","2015-07-23","31","Partly cloudy","8:30","11:30","BA","JJ","NS",""
"Paradise","Upper","2015-07-24","32","Overcast","8:30","12:00","JJ","NS","BA",""
"ZigZag","Upper","2015-07-24","32","Sunny","12:45","4:30","NS","BA","JJ",""
"Bear","Lower","2015-07-25","32","Overcast","8:30","11:30","BA","JJ","NS",""
"Paradise","Lower","2015-07-26","32","Overcast, Rain","8:30","11:45","JJ","NS","NA",""
"ZigZag","Lower","2015-07-27","32","Overcast","8:45","11:45","NS","BA","JJ",""
"Bear","Upper","2015-08-03","33","Sunny","8:45","2:45","NS","BA","JJ",""
"Paradise","Upper","2015-08-05","33","Partly cloudy","8:30","4:30","BA","JJ","NS",""
"Bear","Lower","2015-08-06","33","Sunny","2:15","5:45","NS","BA","JJ",""
"ZigZag","Upper","2015-08-06","33","Partly cloudy","8:45","1:15","JJ","NS","BA",""
"Paradise","Lower","2015-08-07","33","Sunny","8:30","12:00","BA","JJ","NS",""
"Bear","Upper","2015-08-08","34","Sunny","12:45","6:00","BA","JJ","NS","brook trout sighting at 17m"
"ZigZag","Lower","2015-08-08","33","Sunny","8:45","11:45","JJ","NS","BA",""
"Paradise","Upper","2015-08-09","34","Sunny","8:45","2:15","NS","BA","JJ",""
"ZigZag","Upper","2015-08-10","34","Sunny","8:45","1:00","BA","JJ","NS",""
"Bear","Lower","2015-08-13","34","Partly cloudy","8:45","11:45","JJ","NS","BA",""
"Paradise","Lower","2015-08-14","34","Sunny","8:30","11:15","NS","BA","JJ",""
"ZigZag","Lower","2015-08-14","34","Sunny, Partly cloudy","12:15","3:00","BA","JJ","NS",""
"Bear","Upper","2015-08-15","35","Overcast","8:45","1:15","JJ","NS","BA","possible brook trout sighting at 93m"
"Paradise","Upper","2015-08-16","35","Sunny","8:45","2:30","JJ","NS","BA",""
"ZigZag","Upper","2015-08-17","35","Sunny","8:45","12:30","NS","BA","JJ",""
"Bear","Lower","2015-08-18","35","Sunny","8:45","1:00","BA","JJ","NS",""
"Paradise","Lower","2015-08-19","35","Partly cloudy","8:30","11:45","JJ","NS","BA",""
"ZigZag","Lower","2015-08-19","35","Partly cloudy","12:45","3:15","NS","BA","JJ",""
"Bear","Upper","2015-08-20","36","Partly cloudy","8:45","3:00","NS","BA","JJ","trout sighting at 25m"
"Paradise","Upper","2015-08-22","36","Sunny","8:45","5:00","BA","JJ","NS","No dusky or recap tissue samples (running low on vials)"
"Bear","Lower","2015-08-23","36","Sunny, Partly cloudy","8:30","11:45","NS","BA","JJ","No dusky or recap tissue samples (running low on vials)"
"ZigZag","Upper","2015-08-23","36","Overcast","12:45","5:30","JJ","NS","BA","No dusky or recap tissue samples (running low on vials)"
"Paradise","Lower","2015-08-24","36","Overcast, Rain","8:15","11:45","BA","JJ","NS","No dusky or recap tissue samples (running low on vials)"
"ZigZag","Lower","2015-08-24","36","Overcast","12:45","3:00","JJ","NS","BA","No dusky or recap tissue samples (running low on vials)"
"ZigZag","Upper","2018-06-17","37","Sunny","10:30","17:15","LKS","MMC","NA",""
"Paradise","Lower","2018-06-19","37","Sunny","19:00","14:30","LKS","MMC","NA","Rain night before, somewhat high flows made survey more challenging"
"Paradise","Upper","2018-06-20","37","Sunny","8:45","14:00","LKS","MMC","NA",""
"Bear","Lower","2018-06-21","37","Partly cloudy","7:45","11:30","LKS","MMC","NA",""
"Bear","Upper","2018-06-21","37","Sunny","12:10","17:15","LKS","MMC","NA",""
"ZigZag","Lower","2018-06-22","37","Sunny","9:50","12:20","LKS","MMC","NA",""
"ZigZag","Upper","2018-06-23","38","Overcast","8:45","13:00","LKS","MMC","NA",""
"Paradise","Lower","2018-06-25","38","Partly cloudy","13:45","18:00","LKS","MMC","NA",""
"Paradise","Upper","2018-06-25","38","Partly cloudy","8:10","12:15","LKS","MMC","NA",""
"Bear","Upper","2018-06-26","38","Sunny","10:10","14:00","LKS","MMC","NA",""
"Bear","Lower","2018-06-27","38","Overcast","12:00","14:35","LKS","MMC","NA",""
"ZigZag","Lower","2018-06-27","38","Overcast","8:00","10:45","LKS","MMC","NA",""
"Paradise","Upper","2018-06-30","39","Sunny","15:15","18:40","LKS","MMC","NA",""
"Paradise","Lower","2018-07-01","39","Sunny","13:30","16:35","LKS","MMC","NA",""
"ZigZag","Upper","2018-07-01","39","Sunny","8:00","11:45","LKS","MMC","NA",""
"Bear","Upper","2018-07-02","39","Overcast","10:30","17:00","LKS","MMC","NA",""
"Bear","Lower","2018-07-03","39","Sunny","11:40","14:30","LKS","MMC","NA",""
"ZigZag","Lower","2018-07-03","39","Sunny","8:15","10:50","LKS","MMC","NA",""
"ZigZag","Upper","2018-07-09","40","Sunny","9:30","5:00","LKS","MMC","NA",""
"Bear","Upper","2018-07-10","40","Partly cloudy","8:15","17:30","LKS","MMC","NA","Flows very flow"
"Paradise","Upper","2018-07-11","40","Partly cloudy","9:45","15:15","LKS","MMC","NA","Only completed half of survey (other half finished on 7/12)"
"Paradise","Upper","2018-07-11","40","Partly cloudy","12:00","15:00","LKS","MMC","NA","Finished partial survey"
"Paradise","Lower","2018-07-13","40","Sunny","9:00","14:00","LKS","MMC","NA",""
"Bear","Lower","2018-07-14","40","Overcast","8:30","14:30","LKS","MMC","NA",""
"ZigZag","Lower","2018-07-14","40","Overcast","15:30","18:45","LKS","MMC","NA",""
"ZigZag","Upper","2018-07-15","41","Partly cloudy","10:15","18:00","LKS","MMC","NA",""
"Paradise","Lower","2018-07-16","41","Sunny","11:45","16:30","LKS","MMC","NA",""
"Bear","Upper","2018-07-18","41","Partly cloudy","8:30","14:00","LKS","MMC","NA",""
"Paradise","Upper","2018-07-19","41","Sunny","8:15","15:15","LKS","MMC","NA",""
"ZigZag","Lower","2018-07-20","41","Sunny","8:15","11:15","LKS","MMC","NA",""
"ZigZag","Upper","2018-07-20","42","Sunny","11:00","17:00","LKS","MMC","NA",""
"Bear","Lower","2018-07-21","41","Sunny","8:15","11:15","LKS","MMC","NA",""
"Paradise","Lower","2018-07-21","42","Sunny","12:20","17:30","LKS","MMC","NA",""
"Paradise","Upper","2018-07-22","42","Rain","8:30","12:15","LKS","MMC","NA",""
"ZigZag","Lower","2018-08-01","43","Rain","1:30","3:45","LKS","MMC","NA",""
"ZigZag","Upper","2018-08-01","43","Partly cloudy","8:30","12:30","LKS","MMC","NA",""
"Bear","Lower","2018-08-02","43","Partly cloudy","13:40","17:00","LKS","MMC","NA",""
"Bear","Upper","2018-08-02","43","Overcast","8:15","12:30","LKS","MMC","NA",""
"Paradise","Upper","2018-08-03","43","Overcast","7:20","12:30","LKS","MMC","NA",""
"Paradise","Lower","2018-08-05","43","Sunny","15:00","18:00","LKS","MMC","NA","High flows"
"ZigZag","Lower","2018-08-06","44","Sunny","13:15","15:50","LKS","MMC","NA",""
"ZigZag","Upper","2018-08-06","44","Sunny","8:15","12:25","LKS","MMC","NA",""
"Bear","Upper","2018-08-07","44","Rain","13:00","17:00","LKS","MMC","NA","Didn't complete all of survey due to thunderstorm"
"Bear","Upper","2018-08-08","44","Sunny","8:30","9:45","LKS","MMC","NA","Finished survey from previous day"
"Paradise","Upper","2018-08-08","44","Partly cloudy","10:45","15:20","LKS","MMC","NA","Ran out of tissue sample vials, so no tissue samples"
"Paradise","Lower","2018-08-09","44","Overcast","8:55","13:00","LKS","MMC","NA",""
"Bear","Lower","2018-08-10","44","Sunny","12:20","15:30","LKS","MMC","NA",""
"ZigZag","Lower","2018-08-10","45","Sunny","8:35","11:00","LKS","MMC","NA",""
"ZigZag","Upper","2018-08-11","45","Overcast","9:30","12:20","LKS","MMC","NA",""
"Bear","Lower","2018-08-12","45","Rain","14:05","16:40","LKS","MMC","NA",""
"Bear","Upper","2018-08-12","45","Rain","8:30","13:00","LKS","MMC","NA",""
"Paradise","Lower","2018-08-13","45","Rain","9:30","13:15","LKS","MMC","NA",""
"Paradise","Upper","2018-08-15","45","Rain","8:30","12:30","LKS","MMC","NA",""
"Bear","Upper","2019-06-18","46","Overcast","8:45","15:00","LKS","MMC","SJM","RBW also helped"
"Paradise","Lower","2019-06-19","46","Partly cloudy","13:00","17:00","LKS","RBW","MMC","SJM also helped"
"Paradise","Upper","2019-06-19","46","Sunny","8:45","13:00","LKS","RBW","MMC","SJM also helped"
"ZigZag","Upper","2019-06-20","46","Overcast","7:45","11:00","LKS","MMC","SJM","RBW also helped"
"Bear","Lower","2019-06-23","46","Sunny","13:00","16:00","LKS","RBW","NA",""
"ZigZag","Lower","2019-06-23","46","Sunny","9:15","12:00","LKS","RBW","NA",""
"Bear","Upper","2019-06-24","47","Sunny","8:35","12:00","LKS","MMC","SJM","RBW also helped"
"Paradise","Upper","2019-06-24","47","Sunny","12:45","4:45","LKS","MMC","SJM",""
"Paradise","Lower","2019-06-25","47","Overcast","8:00","11:30","LKS","RBW","SJM",""
"ZigZag","Lower","2019-06-28","47","Sunny","13:15","16:30","LKS","SJM","NA",""
"ZigZag","Upper","2019-06-28","47","Sunny","8:20","12:15","LKS","MMC","SJM",""
"Bear","Lower","2019-06-29","47","Overcast","9:00","12:30","LKS","SJM","NA",""
"Bear","Upper","2019-06-30","48","Partly cloudy","9:00","12:30","LKS","MMC","NA",""
"Paradise","Lower","2019-07-01","48","Sunny","9:00","12:00","LKS","RBW","NA",""
"Paradise","Upper","2019-07-01","48","Sunny","12:30","4:30","LKS","MMC","NA",""
"ZigZag","Upper","2019-07-02","48","Partly cloudy","9:00","12:00","LKS","MMC","RBW",""
"Bear","Lower","2019-07-03","48","Sunny","12:30","4:00","LKS","RBW","NA",""
"ZigZag","Lower","2019-07-03","48","Sunny","9:00","12:00","LKS","RBW","NA",""
"Paradise","Upper","2019-07-09","49","Sunny","9:00","16:00","LKS","SJM","NA",""
"Paradise","Lower","2019-07-11","49","Overcast","14:00","15:30","LKS","RBW","NA","completed first 320 meters on 7/11, then it started raining so we finished on 7/13"
"Bear","Upper","2019-07-13","49","Partly cloudy","12:30","15:30","LKS","RBW","NA",""
"ZigZag","Upper","2019-07-14","49","Partly cloudy","11:30","14:00","LKS","RBW","NA",""
"Bear","Lower","2019-07-15","49","Partly cloudy","8:15","11:15","LKS","RBW","NA",""
"ZigZag","Lower","2019-07-15","49","Sunny","13:00","15:00","LKS","RBW","MMC","TJH also helped"
"Paradise","Upper","2019-07-16","50","Partly cloudy","9:45","12:00","LKS","TJH","RBW",""
"Bear","Upper","2019-07-17","50","Overcast","1:30","17:00","LKS","TJH","NA",""
"Bear","Lower","2019-07-18","50","Sunny","13:00","16:00","MMC","TJH","NA",""
"Paradise","Lower","2019-07-18","50","Overcast","9:30","11:30","LKS","RBW","NA",""
"ZigZag","Lower","2019-07-19","50","Partly cloudy","14:30","16:30","LKS","TJH","RBW",""
"ZigZag","Upper","2019-07-19","50","Partly cloudy","9:00","13:00","LKS","TJH","NA",""
"Paradise","Upper","2019-07-20","51","Sunny","8:45","14:30","LKS","RBW","NA",""
"Bear","Upper","2019-07-21","51","Partly cloudy","7:30","13:00","LKS","RBW","NA",""
"Bear","Lower","2019-07-22","51","Rain","12:00","16:00","LKS","TJH","NA",""
"Paradise","Lower","2019-07-22","51","Overcast","8:00","11:00","LKS","TJH","NA",""
"ZigZag","Lower","2019-07-23","51","Partly cloudy","15:00","17:30","LKS","TJH","RBW",""
"ZigZag","Upper","2019-07-23","51","Overcast","10:00","14:00","LKS","TJH","NA",""
"Paradise","Lower","2019-08-01","NA","Sunny","13:00","18:00","LKS","MMC","RBW","TJH also helped, no salamanders caught"
"Paradise","Upper","2019-08-01","52","NA","NA","NA","NA","NA","NA","Check dataset for record"
"Bear","Lower","2019-08-02","52","Sunny","11:00","17:00","LKS","MMC","RBW","TJH also helped"
"ZigZag","Lower","2019-08-03","52","Sunny","9:15","12:00","LKS","MMC","TJH",""
"Bear","Upper","2019-08-04","52","Sunny","8:15","16:00","LKS","MMC","TJH","RBW also helped"
"Paradise","Lower","2019-08-05","52","Sunny","11:30","15:30","LKS","RBW","NA",""
"Bear","Lower","2019-08-06","53","Sunny","13:12","16:00","RBW","TJH","NA",""
"ZigZag","Lower","2019-08-06","53","Sunny","9:30","12:00","LKS","MMC","NA",""
"Paradise","Upper","2019-08-07","53","Overcast","8:30","13:00","LKS","TJH","NA",""
"ZigZag","Upper","2019-08-09","52","Partly cloudy","8:30","15:00","LKS","MMC","RBW","TJH also helped"
"ZigZag","Lower","2019-08-10","54","Partly cloudy","9:45","13:00","LKS","RBW","MMC",""
"Bear","Upper","2019-08-11","53","Partly cloudy","8:27","10:15","MMC","RBW","TJH",""
"Paradise","Lower","2019-08-11","53","Sunny","11:45","13:15","MMC","RBW","TJH",""
"ZigZag","Upper","2019-08-12","53","Sunny","10:30","13:30","LKS","RBW","TJH",""
"Paradise","Upper","2019-08-13","54","Overcast","9:45","14:30","LKS","RBW","NA",""
"Bear","Lower","2019-08-14","54","Sunny","8:30","13:30","LKS","TJH","NA",""
"Bear","Upper","2019-08-14","54","Sunny","14:00","17:30","LKS","TJH","NA",""
"Paradise","Lower","2019-08-15","54","Partly cloudy","8:30","12:30","LKS","RBW","NA",""
"ZigZag","Upper","2019-08-16","54","Rain","10:00","13:00","LKS","TJH","NA",""
"Bear","Lower","2020-06-20","55","Partly cloudy","9:00","2:00","LKS","MMC","MMD",""
"Paradise","Lower","2020-06-21","55","Sunny","9:00","2:50","LKS","MMD","NA",""
"ZigZag","Upper","2020-06-22","55","Partly cloudy","9:00","4:00","LKS","TJH","MMC",""
"Bear","Lower","2020-06-25","56","Sunny","8:30","2:00","TJH","MMD","NA",""
"Paradise","Upper","2020-06-25","55","Sunny","8:30","3:30","MMC","LKS","NA",""
"Bear","Upper","2020-06-26","55","Sunny","8:30","2:00","MMC","TJH","NA","Last 70m very dry/no flow"
"ZigZag","Lower","2020-06-26","55","Sunny","8:30","12:30","LKS","MMD","NA",""
"Paradise","Lower","2020-06-27","56","Overcast","8:30","2:00","MMD","TJH","NA","Accidentally double tagged a sally"
"ZigZag","Upper","2020-06-28","56","Partly cloudy","7:40","2:00","MMC","MMR","NA",""
"Paradise","Upper","2020-06-29","56","Rain","8:30","2:00","MMD","TJH","NA",""
"ZigZag","Lower","2020-06-30","56","Partly cloudy","8:30","12:00","MMC","MMD","TJH",""
"Bear","Upper","2020-07-02","56","Sunny","8:30","3:00","MMD","TJH","NA",""
"Paradise","Lower","2020-07-02","57","Sunny","8:50","13:45","MMC","AEW","NA",""
"Bear","Lower","2020-07-03","57","Partly cloudy","8:30","14:00","TJH","AEW","NA",""
"Paradise","Upper","2020-07-03","57","Overcast","8:30","14:00","MMC","MMD","NA",""
"ZigZag","Lower","2020-07-04","57","Sunny","8:30","11:00","MMC","AEW","NA",""
"ZigZag","Upper","2020-07-05","57","Sunny","8:30","15:30","TJH","MMD","NA",""
"Bear","Upper","2020-07-06","57","Sunny","8:30","1:30","TJH","MMD","AEW",""
"Paradise","Lower","2020-07-11","58","Rain","8:30","12:00","TJH","AEW","NA",""
"Paradise","Upper","2020-07-12","58","Overcast","9:00","2:00","TJH","AEW","NA",""
"Bear","Upper","2020-07-13","58","Overcast","8:30","4:00","MMD","AEW","NA",""
"Bear","Lower","2020-07-15","58","Partly cloudy","9:00","12:15","MMC","AEW","NA",""
"ZigZag","Lower","2020-07-15","58","Partly cloudy","13:30","16:00","MMC","AEW","NA",""
"ZigZag","Upper","2020-07-16","58","Partly cloudy","8:30","14:30","TJH","MMD","NA",""
"Paradise","Upper","2020-07-18","59","Sunny","8:30","15:30","TJH","AEW","NA",""
"Bear","Upper","2020-07-19","59","Sunny","8:30","14:30","MMD","AEW","NA",""
"Bear","Lower","2020-07-20","59","Partly cloudy","8:30","14:00","MMD","TJH","NA",""
"Paradise","Lower","2020-07-20","59","Partly cloudy","8:45","13:20","MMC","AEW","NA",""
"ZigZag","Lower","2020-07-20","59","Sunny","14:20","15:45","MMD","TJH","MMC","AEW"
"ZigZag","Upper","2020-07-22","59","Overcast","8:45","15:30","MMD","AEW","NA",""
"Paradise","Lower","2020-07-23","60","Overcast","8:30","12:45","MMD","TJH","NA",""
"Bear","Upper","2020-07-24","60","Sunny","8:30","14:45","MMC","MMD","NA",""
"Paradise","Upper","2020-07-24","60","Partly cloudy","8:15","15:00","AEW","TJH","NA",""
"ZigZag","Upper","2020-07-25","60","Sunny","8:30","14:15","TJH","MMD","NA",""
"Bear","Lower","2020-07-26","60","Partly cloudy","8:30","10:45","TJH","MMD","AEW",""
"ZigZag","Lower","2020-07-26","60","Partly cloudy","11:45","14:00","TJH","MMD","AEW",""
"Bear","Upper","2020-07-31","61","Sunny","8:30","1:30","MMD","AEW","NA",""
"Bear","Lower","2020-08-01","61","Sunny","8:30","11:30","MMC","TJH","AEW",""
"ZigZag","Lower","2020-08-01","61","Sunny","12:30","14:00","MMC","MMD","AEW",""
"Paradise","Lower","2020-08-02","61","Overcast","8:45","15:00","MMC","AEW","NA",""
"ZigZag","Upper","2020-08-02","61","Overcast","8:30","13:30","MMD","TJH","NA",""
"Paradise","Upper","2020-08-03","61","Partly cloudy","8:30","13:00","AEW","TJH","NA",""
"Bear","Upper","2020-08-06","62","Partly cloudy","8:30","12:00","MMD","TJH","NA",""
"ZigZag","Upper","2020-08-06","62","Overcast","8:45","12:00","AEW","MMC","NA",""
"Bear","Lower","2020-08-07","62","Sunny","8:20","11:45","MMC","TJH","NA",""
"Paradise","Lower","2020-08-07","62","Sunny","8:30","10:45","MMD","AEW","NA",""
"ZigZag","Lower","2020-08-07","62","Partly cloudy","11:45","1:45","MMD","AEW","MMC","TJH"
"Bear","Upper","2020-08-08","63","Overcast","8:20","11:30","TJH","AEW","NA",""
"Paradise","Upper","2020-08-08","62","Overcast","8:30","13:15","MMC","MMD","NA",""
"Paradise","Lower","2020-08-09","63","Partly cloudy","8:30","13:00","MMC","TJH","NA",""
"ZigZag","Upper","2020-08-09","63","Partly cloudy","8:30","12:00","MMD","AEW","NA",""
"Bear","Lower","2020-08-12","63","Partly cloudy","8:40","11:30","AEW","TJH","NA",""
"Paradise","Upper","2020-08-13","63","Sunny","8:30","13:15","MMC","TJH","NA",""
"ZigZag","Lower","2020-08-14","63","Sunny","8:30","10:00","TJH","AEW","NA",""
"Bear","Lower","2021-06-10","64","Sunny","12:00","16:20","MMC","KB","RW","MNC"
"Bear","Upper","2021-06-12","64","Sunny","8:30","15:30","MMC","RW","KB","MNC"
"Paradise","Upper","2021-06-13","64","Sunny","9:00","15:30","MMC","RW","KB","MNC"
"ZigZag","Lower","2021-06-14","64","Overcast, Rain","12:45","15:20","MMC","KB","RW","MNC"
"Bear","Lower","2021-06-15","65","Partly cloudy","9:00","13:20","MMC","KB","RW",""
"Paradise","Lower","2021-06-16","64","Partly cloudy","8:45","14:10","RW","KB","MNC",""
"ZigZag","Upper","2021-06-18","64","Sunny","9:00","16:30","MMC","MNC","RW","KB"
"ZigZag","Lower","2021-06-19","65","Sunny","10:00","13:50","RW","MNC","NA",""
"Bear","Upper","2021-06-20","65","Sunny","8:35","16:20","MMC","MNC","NA",""
"Paradise","Lower","2021-06-22","65","Overcast, Rain","8:30","13:20","MNC","KB","MMC",""
"Paradise","Upper","2021-06-23","65","Sunny","8:15","14:30","KB","RW","MNC",""
"Bear","Lower","2021-06-24","66","Sunny","8:30","15:00","MNC","RW","NA",""
"ZigZag","Upper","2021-06-24","65","Sunny","8:45","16:30","MMC","KB","NA",""
"Bear","Upper","2021-06-25","66","Overcast","8:30","14:00","KB","RW","NA",""
"Paradise","Lower","2021-06-25","66","Overcast","8:45","16:30","MMC","MNC","NA",""
"Paradise","Upper","2021-06-26","66","Overcast","8:45","15:15","MMC","RW","NA",""
"ZigZag","Lower","2021-06-26","66","Overcast","9:10","12:30","KB","MNC","NA",""
"ZigZag","Upper","2021-06-27","66","Sunny","8:35","13:00","MMC","RW","KB","MNC"
"Bear","Lower","2021-07-04","67","Overcast","8:45","12:45","MMC","MNC","NA",""
"ZigZag","Upper","2021-07-05","67","Partly cloudy","8:20","13:00","KB","RW","MNC",""
"Bear","Upper","2021-07-06","67","Partly cloudy","8:30","14:40","RW","MNC","NA",""
"Paradise","Lower","2021-07-06","67","Partly cloudy","9:45","13:10","MMC","KB","NA",""
"ZigZag","Lower","2021-07-08","67","Overcast","8:45","12:15","MMC","MNC","NA",""
"Bear","Lower","2021-07-09","68","Rain","8:20","12:30","KB","MNC","NA",""
"Paradise","Upper","2021-07-11","67","partly Sunny","8:20","13:45","MMC","MNC","NA",""
"Bear","Upper","2021-07-12","68","Overcast","8:30","12:20","MMC","RW","MNC",""
"Bear","Lower","2021-07-14","69","Overcast","8:30","13:00","MMC","RW","NA",""
"ZigZag","Upper","2021-07-14","68","Overcast","8:45","12:45","MMC","KB","NA",""
"Paradise","Lower","2021-07-15","68","Sunny","8:40","12:00","MMC","RW","KB","MNC"
"ZigZag","Lower","2021-07-15","68","Sunny","12:45","14:05","MMC","RW","KB","MNC"
"Paradise","Upper","2021-07-16","68","Sunny","8:45","12:45","MNC","KB","NA",""
"Bear","Upper","2021-07-17","69","Rain","9:00","12:30","KB","RW","NA",""
"ZigZag","Lower","2021-07-21","69","Partly cloudy","12:00","14:10","MMC","MNC","NA",""
"Paradise","Lower","2021-07-22","69","Sunny","8:30","11:15","MNC","KB","NA",""
"Paradise","Upper","2021-07-23","69","Sunny","8:30","12:35","MMC","MNC","NA",""
"ZigZag","Upper","2021-07-24","69","Sunny","8:30","12:30","RW","KB","NA",""
"Bear","Lower","2021-08-01","70","Partly cloudy","8:40","12:00","KB","RW","NA",""
"Bear","Upper","2021-08-01","70","Overcast","8:20","13:00","MMC","MNC","NA",""
"ZigZag","Lower","2021-08-02","70","Partly cloudy","14:00","15:30","MMC","RW","MNC",""
"Paradise","Lower","2021-08-03","70","Sunny","10:20","13:45","MNC","RW","NA",""
"Paradise","Upper","2021-08-03","70","Sunny","10:30","13:45","MMC","KB","NA",""
"Bear","Upper","2021-08-04","71","Partly cloudy","8:30","12:30","KB","MNC","NA",""
"ZigZag","Upper","2021-08-04","70","Partly cloudy","8:45","13:20","MMC","RW","NA",""
"Bear","Lower","2021-08-05","71","Overcast","10:00","14:00","MMC","MNC","NA",""
"Paradise","Upper","2021-08-07","71","Partly cloudy","8:45","13:20","KB","RW","MNC",""
"ZigZag","Upper","2021-08-08","71","Sunny, hazy","8:30","12:00","MMC","KB","MNC",""
"Bear","Upper","2021-08-10","72","Partly cloudy","8:45","12:00","RW","MNC","NA",""
"Paradise","Lower","2021-08-10","71","Overcast","8:45","13:15","MMC","KB","NA",""
"Bear","Lower","2021-08-11","72","Rain, Partly cloudy","8:30","13:20","MMC","RW","NA",""
"ZigZag","Lower","2021-08-12","71","Partly cloudy, Sunny","8:30","11:45","RW","KB","NA",""
"Paradise","Upper","2021-08-13","72","Sunny","8:30","12:00","MMC","MNC","NA",""
"ZigZag","Upper","2021-08-14","72","Sunny, Partly cloudy","8:30","13:00","MMC","KB","RW",""
"ZigZag","Lower","2021-08-15","72","Sunny","10:15","13:15","MMC","KB","NA",""
"Paradise","Lower","2021-08-16","72","Sunny","8:40","12:20","KB","RW","NA",""
"Bear","Lower","NA","42","NA","NA","NA","NA","NA","NA","Didn't complete 6th survey during second primary period in 2018"
"Bear","Upper","NA","42","NA","NA","NA","NA","NA","NA","Didn't complete 6th survey during second primary period in 2018"
"ZigZag","Lower","NA","42","NA","NA","NA","NA","NA","NA","Didn't complete 6th survey during second primary period in 2018"
